词,频次,主题,例句
好看,65,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 比春晚好看; 有烂梗的春晚才叫过年呐: 乱插梗吗这不是，就算念出来也不好看; 【旧曲新歌奥密克戎】2022春晚押题相声: 林俊杰可没郭冬临好看; 2024春晚小品押题《三胎》: 比春晚好看; 你觉得今年春晚最有可能出现哪些梗？: 比春晚好看; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 神剧专业户演的能好看到哪
才,64,春晚内容相关,papi酱的春晚预测: 集美貌与才华于一身的女子; 你觉得今年春晚最有可能出现哪些梗？: 真的有才; 你觉得今年春晚最有可能出现哪些梗？: 刚才那个大圆脸的姑娘真的好看！！！！; 【旧曲新歌奥密克戎】2022春晚押题相声: u真有才啊; 《2025年蛇年春晚烂梗小品精选》: 天才; 无偿送给今年的春晚导演组: 天才！！！
得,63,其他,2024春晚小品押题《三胎》: 这个逻辑还真的说得通; 2024春晚小品押题《三胎》: 我觉得挺好看的; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个脱口秀我觉得还可以，段子质量还挺高的; 【旧曲新歌奥密克戎】2022春晚押题相声: 唱得很好，下次不许唱了; 《2025年蛇年春晚烂梗小品精选》: 编导你觉得你自己看得下去吗; 2025春晚小品预测，这届网友太有才了: 看看那些官媒删平删得多很，就知道人家根本懒得改
今年,63,年度与时间,无偿送给今年的春晚导演组: 牛批  今年没你我不看; 求求各位，不要再押题春晚小品了……: 剑走偏锋，太对了，把科目三整来，到时候说，“今年的好，“太接地气了！”; 2024春晚小品押题《三胎》: 我今年18，50年后我快70了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 今年春晚全场最佳：挠头哥。; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 按理说今年的梗太新了他们不会玩的; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 但说真话，今年的歌都挺不错
去,62,其他,《2025年蛇年春晚烂梗小品精选》: 已经看不下去了; 我想看这样的春晚: 80咋了，80岁姜子牙刚准备去封神; papi酱的春晚预测: 哈哈哈哈哈董老师：叉出去; 2025春晚小品预测，这届网友太有才了: 去年的科目三谁还有人记得吗？; 《2025年蛇年春晚烂梗小品精选》: 不敢看下去了; 有烂梗的春晚才叫过年呐: 去瑞士代购春款，出口转内销是吧
因,62,其他,papi酱的春晚预测: 只因（警撅）; 2024春晚小品押题《三胎》: 因为考试需要李华; 《2025年蛇年春晚烂梗小品精选》: 不是说小品不许出现谐音梗吗（doge）（我说这个是因为以前很多带有谐音梗的小品说禁用谐音梗啦）; 2025春晚小品预测，这届网友太有才了: 不可能的，因为这真的让我笑了一下; 你觉得今年春晚最有可能出现哪些梗？: 为何我此时眼含热泪，因为我真的感动，这样的感动真的不常在; papi酱的春晚预测: 只因你太美（。）
把,61,其他,无偿送给今年的春晚导演组: 不合格 把我逗乐了; 求求各位，不要再押题春晚小品了……: 还没有啊，要离的突然没有矛盾了，只是把包饺子换了个形式罢了; 2024春晚小品押题《三胎》: 那不生不就好了，不把负担甩给下一代; 求求各位，不要再押题春晚小品了……: 转换思路，把节目都押一遍; 2024春晚小品押题《三胎》: 把养孩子的钱留下来养老不也减轻负担嘛; 无偿送给今年的春晚导演组: 这味把我创到了
或,61,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这老兄挠头或成为一个表情包; papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈哈或或; papi酱的春晚预测: 红红火火恍恍惚惚或或或或; 2024春晚小品押题《三胎》: 或者你可以出去打工; papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈哈哈哈哈或或; papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或
抽象,59,情感与互动,无偿送给今年的春晚导演组: 卧槽啊啊啊抽象; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我一直觉得封面那个人太抽象了; 无偿送给今年的春晚导演组: 抽象，太抽象了; 求求各位，不要再押题春晚小品了……: 不是独特，是抽象（doge; 无偿送给今年的春晚导演组: 极限的抽象
中,59,其他,二进制小品: 八饺笼中; 二进制小品: 脑中台词自动生成; 二进制小品: 省流：《八饺笼中》; 我想看这样的春晚: 啊啊啊啊啊禹宙中欣！; papi酱的春晚预测: 别押题了全中就不好啦
“,57,其他,二进制小品: 二进制怎么会除了“饺”“子”之外还有别的字呢; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: “我骄傲”; 二进制小品: “你看那隔壁的二婶”; 无偿送给今年的春晚导演组: “爱能止血！”; 二进制小品: “剧情无法跳过”
出来,57,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 当时我看的时候，我脚趾下面凭空多出来一个三室一厅; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 在网吧看到这直接喊出来包饺子; 2024春晚小品押题《三胎》: 突然笑不出来; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 对不起，他说生了我还以为他从衣服底下拿出来一堆饺子（; 《2025年蛇年春晚烂梗小品精选》: 进度条三分之一了，只听出来一个5.20
经典,57,春晚内容相关,papi酱的春晚预测: 《传世经典》; 你觉得今年春晚最有可能出现哪些梗？: 经典; 无偿送给今年的春晚导演组: 经典催生; papi酱的春晚预测: 这个还是最经典的，又给我推了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 孙涛早期保安作品都很经典，自从开始走好男人设定就开始毁了
视频,57,春晚内容相关,2024春晚小品押题《三胎》: 评论比视频好笑; 8秒看完2025年春晚: 短视频确实; papi酱的春晚预测: 卧槽，古早视频，今日还用; 8秒看完2025年春晚: 短视频确实毁了; papi酱的春晚预测: 有没有可能，预言对了是因为导演也看这个视频了
观众,57,情感与互动,你觉得今年春晚最有可能出现哪些梗？: 观众演技吊打; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: BYD全程没笑，看这个观众挠头笑了; 求求各位，不要再押题春晚小品了……: 还做到了一点：让所有观众印象深刻; 二进制小品: 观众朋友们好，新的一年，我俩给您拜年了。; 无偿送给今年的春晚导演组: 不行，这点让观众意想不到了，比原作nb，不合格
结婚,56,春晚内容相关,2024春晚小品押题《三胎》: 太不容易了，现在能结婚就已经很不容易了; 2024春晚小品押题《三胎》: 18岁？没到结婚年龄（狗头; 无偿送给今年的春晚导演组: 太对了，所以我不结婚; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 槿夕你怎么结婚了！; 无偿送给今年的春晚导演组: 所以不要结婚
好好,56,情感与互动,"无偿送给今年的春晚导演组: 好好好; 无偿送给今年的春晚导演组: 好好好这么搞是吧; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好好好; 二进制小品: 好好好; 无偿送给今年的春晚导演组: 别结了啊,不结又不是会死,一个人活的好好的"
导演,54,明星与节目,2024春晚小品押题《三胎》: 导演：已经汗流浃背了; 2024春晚小品押题《三胎》: 导演汗流浃背了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 导演真是脑袋被水灌满了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这是导演组放出来的春晚预告吧。。。; 我想看这样的春晚: 求你去做春晚导演吧！！我也想看！！
二战转折点,53,春晚内容相关,2024春晚小品押题《三胎》: 二战转折点; 二进制小品: 二战转折点; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 二战转折点; 2024春晚小品押题《三胎》: “好啦”二战转折点; 2024春晚小品押题《三胎》: 好啦二战转折点
谁,53,情感与互动,2024春晚小品押题《三胎》: 谁说你们都能活到八十多了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 谁懂啊哥哥这个笑好酥; 二进制小品: 谁懂啊，看明白了; 2025春晚小品预测，这届网友太有才了: 现在谁还看春晚啊; 你觉得今年春晚最有可能出现哪些梗？: 谁说这短剧low啊？这短剧可太棒了
后,52,年度与时间,8秒看完2025年春晚: 10后赶上了中考分流……; 8秒看完2025年春晚: 95后除了三鹿奶粉没赶上别的都赶上了哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 后面楼梯有个黑影闪过去了; 8秒看完2025年春晚: 00后啥都没说咋就摊上诋毁10后了; 我想看这样的春晚: 然后把王志猩团队请上演一个
有点,52,情感与互动,2024春晚小品押题《三胎》: 居然有点好笑; 2024春晚小品押题《三胎》: 唉？进度有点快了，怎么着也得等老公回来吧; 《2025年蛇年春晚烂梗小品精选》: 味儿有点冲; 2024春晚小品押题《三胎》: 味太对，甚至有点齁; 【旧曲新歌奥密克戎】2022春晚押题相声: 要真有冯老师那我还真的有点兴趣哦
死,52,吐槽与负面情绪,2024春晚小品押题《三胎》: 哈哈哈，笑死我啦; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 打死白学; 我想看这样的春晚: 啊啊啊啊啊啊我已经快笑死了; 2024春晚小品押题《三胎》: 笑死了; papi酱的春晚预测: 想死你们了
应该,52,其他,无偿送给今年的春晚导演组: 应该是“好~~啦！！！”; 无偿送给今年的春晚导演组: 错了，应该是一家四口，女方身上还怀着双胞胎; 无偿送给今年的春晚导演组: 太抽象了，我应该留到除夕看的; 2025春晚小品预测，这届网友太有才了: 我说过话，那春晚就应该是粗的带一点俗，但不是不文明的而是有限度的，能让人开怀笑的，现在是什么年终奖晚会吗？; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 应该是代表不了尔滨的
周深,52,明星与节目,我想看这样的春晚: 周深; 我想看这样的春晚: 周深唱歌; 我想看这样的春晚: 妈呀没有周深差评不看了; 我想看这样的春晚: 周深呢; 我想看这样的春晚: 周深！我需要周深来拯救我的耳朵！
汗流浃背,51,吐槽与负面情绪,2024春晚小品押题《三胎》: 不行了，汗流浃背了已经。; 求求各位，不要再押题春晚小品了……: 导演汗流浃背了; 2024春晚小品押题《三胎》: 我已经汗流浃背了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 汗流浃背了; 2024春晚小品押题《三胎》: 导演：已经汗流浃背了
尬,51,吐槽与负面情绪,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 春晚的宗旨，只要我不尴尬，尴尬的就是观众; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 很尴尬，但比不上春晚; papi酱的春晚预测: 尬到抠出别墅; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 尴尬; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个是我觉得最尬的
一起,51,情感与互动,无偿送给今年的春晚导演组: 我们一起 生 孩 子！; 我想看这样的春晚: 谢谢还记得我们三小只是一起的; 无偿送给今年的春晚导演组: 我们一起 生孩砸; 2025春晚小品预测，这届网友太有才了: 大家一起生孩子？是不是限制级的啊？限制级的我就看; 《2025年蛇年春晚烂梗小品精选》: 等等，左下角怎么小头爸爸和胡图图妈妈在一起啊
啥,51,其他,《2025年蛇年春晚烂梗小品精选》: 这都是些啥？; 2024春晚小品押题《三胎》: 那么问题来了，三胎该叫啥名？; 我想看这样的春晚: 啥都没注意到了我家邓紫棋; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 送了一会包啥; 无偿送给今年的春晚导演组: 哥们，那春晚播啥
太美,51,情感与互动,papi酱的春晚预测: 蔡徐坤的只因你太美; papi酱的春晚预测: 只因你太美(; papi酱的春晚预测: ＿你太美; papi酱的春晚预测: 基尼太美（确信）; papi酱的春晚预测: 姬霓太美
听懂,50,情感与互动,二进制小品: 这下听懂了; 《2025年蛇年春晚烂梗小品精选》: 全听懂的这辈子有了; 2025年春晚押题小品之《再见老登》: 听懂掌声; 二进制小品: 明明都说的同一句可每句都听懂了; 有烂梗的春晚才叫过年呐: 这下听懂了
绷,50,吐槽与负面情绪,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 难绷; 有烂梗的春晚才叫过年呐: 最难绷的一个; 有烂梗的春晚才叫过年呐: 没绷住，三国杀也干了; 有烂梗的春晚才叫过年呐: 这下绷不住了; 8秒看完2025年春晚: 难绷……
救命,48,情感与互动,无偿送给今年的春晚导演组: 啊啊啊啊啊救命; 无偿送给今年的春晚导演组: 救命; 2024春晚小品押题《三胎》: 三十岁三胎，救命; papi酱的春晚预测: 救命哈哈哈哈哈哈哈哈哈哈哈哈哈哈
包,48,其他,papi酱的春晚预测: 包饺咂; 2024春晚小品押题《三胎》: 盲猜结局包饺子; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好了区up主+包饺子区up主; 无偿送给今年的春晚导演组: 包饺砸
doge,47,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 有区别吗？doge; 无偿送给今年的春晚导演组: 泪目了（doge）; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这个题太新了春晚不会出（doge）; 求求各位，不要再押题春晚小品了……: 您说的不会是妙蛙饺子吧doge
大,47,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这是俩人是从大年三十穿越回来的吗！; 【旧曲新歌奥密克戎】2022春晚押题相声: 京东大鼓可真不好唱啊。; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 大过年的看吵架，导演脑子里真有shi; 二进制小品: 大型纪录片《消失的点赞》
确实,47,情感与互动,无偿送给今年的春晚导演组: 这个确实可以有点意思; 【旧曲新歌奥密克戎】2022春晚押题相声: 主要是确实不会唱; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 确实感人，我要哭了; 求求各位，不要再押题春晚小品了……: 去年晚上看小品，确实感觉像听邻居吵了一晚上架
泪目,47,情感与互动,2024春晚小品押题《三胎》: 泪目; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 泪目了; 【旧曲新歌奥密克戎】2022春晚押题相声: 剧本寄给春晚吧，好期待能看到这个相声，泪目; 2024春晚小品押题《三胎》: 《泪目》
押,47,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 考前密卷，疯狂押题; 2024春晚小品押题《三胎》: 16开始怀孕是吧，这个押题肯定扣分; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 是2025春晚押题卷才对; 【旧曲新歌奥密克戎】2022春晚押题相声: 胡老师押了一年题了
演员,47,明星与节目,我想看这样的春晚: 并不想看演员假唱; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 为啥老让影视演员演小品啊 喜剧的节奏一般演员来不了。。; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 熊大配音演员吗; 我想看这样的春晚: 小品的话把喜剧大赛的导演和演员给请夹
天才,46,明星与节目,《2025年蛇年春晚烂梗小品精选》: 天才; 无偿送给今年的春晚导演组: 天才呀; 2024春晚小品押题《三胎》: 难道她真的是天才？; 无偿送给今年的春晚导演组: 天才！！！
听,45,其他,二进制小品: 我怎么听懂了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强说话我都听不清楚他在说什么，感觉口齿不清晰，没有字幕简直就是灾难; 2024春晚小品押题《三胎》: 听到最后的包饺子，吓得我抖了一激灵; 【旧曲新歌奥密克戎】2022春晚押题相声: 如听氙乐耳暂冥
节目,45,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个节目最好笑的不是张若昀吃鸡吗（doge）; 2025年春晚押题小品之《再见老登》: 笑死，真的像是春晚会出的节目; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 还一个相声呢，已经不属于语言类节目了吗; 《2025年蛇年春晚烂梗小品精选》: 我觉得自己吓自己应该来不及了吧，春晚节目应该早就排好了（doge
过,45,年度与时间,《2025年蛇年春晚烂梗小品精选》: 2024已经过去了，现在是2025年; 2024春晚小品押题《三胎》: 要素过多; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我们这过年不吃饺子; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 吵吵吵，大过年的搞心态呢
不住,45,情感与互动,无偿送给今年的春晚导演组: 绷不住了; papi酱的春晚预测: 绷不住了; 《2025年蛇年春晚烂梗小品精选》: 绷不住了; 求求各位，不要再押题春晚小品了……: 我记住它名字了，内容记不住啊
演,45,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 演的相当好; 求求各位，不要再押题春晚小品了……: 瞎鸡哔演就行了，爱笑不笑; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 演技很好？至少在这个春晚节目上，他聒噪得想让人锤死他，这就是本山大叔说的太油了。; 我想看这样的春晚: 可以可以，导演就你了！
吵架,45,吐槽与负面情绪,求求各位，不要再押题春晚小品了……: 嘿，我家就是大年夜吵架的那一家; 求求各位，不要再押题春晚小品了……: 邻居吵架都比这有内容; 求求各位，不要再押题春晚小品了……: 我觉得邻居吵架比这有意思; 求求各位，不要再押题春晚小品了……: 邻居吵架都比这强
哭,44,情感与互动,二进制小品: 该哭了; 8秒看完2025年春晚: 02 的哭了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 你哭还是笑呢; 二进制小品: 给我看哭了
被,43,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 我blue被笑到了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这哥们要被扣工资了，哈哈哈; 《2025年蛇年春晚烂梗小品精选》: 第一个就被吓晕了; 无偿送给今年的春晚导演组: 直播带货貌似被禁了
这是,43,其他,papi酱的春晚预测: 我才发现这是17年发的！！！！; 2024春晚小品押题《三胎》: 这是凯丽吧？; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这是喜剧？; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这是要嘎？留念想
小,42,其他,2024春晚小品押题《三胎》: 再生个小小明（; 求求各位，不要再押题春晚小品了……: 小丑？; papi酱的春晚预测: 救命，孙涛和秦岚的那个小品; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 那个演年轻小情侣的男生是白宇帆吗？
比春晚好看,42,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 比春晚好看; 你觉得今年春晚最有可能出现哪些梗？: 比春晚好看; 2024春晚小品押题《三胎》: 比春晚好看; 你觉得今年春晚最有可能出现哪些梗？: 这不比春晚好看？
押题,42,春晚内容相关,2024春晚小品押题《三胎》: 押题，最后发现是真怀了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 疯狂押题，只要压的多，就一定会压中; 无偿送给今年的春晚导演组: 押题全中; 求求各位，不要再押题春晚小品了……: 这么一说我更想看押题了 反正春晚一定会有小品
可,42,其他,求求各位，不要再押题春晚小品了……: 邻居吵架可有意思多了; papi酱的春晚预测: 这可比春晚有意思哈哈哈哈; 2024春晚小品押题《三胎》: 没关系，你可能已经没了; 我想看这样的春晚: 成毅来个杂技哈哈哈哈确实可以
好评,41,情感与互动,有烂梗的春晚才叫过年呐: 我立马就去打好评！; 有烂梗的春晚才叫过年呐: 再这样我就要打好评了; 有烂梗的春晚才叫过年呐: 你要这样我可给三国杀刷好评了; 有烂梗的春晚才叫过年呐: 你在这样我要给三国杀刷好评了
不会,40,吐槽与负面情绪,有烂梗的春晚才叫过年呐: 这个太新了不会有; 求求各位，不要再押题春晚小品了……: 开卷考试但是啥也不会的你belike（; 2024春晚小品押题《三胎》: 就是你家小明数学题一直不会是吧; papi酱的春晚预测: 2023年不会这样啊
以为,40,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我都不知道这是个节目，还以为是中场闲聊; papi酱的春晚预测: 这居然是17年的，我以为是23年的; 2025春晚小品预测，这届网友太有才了: 我还以为巳生生是死了也要生呢; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 对，我根本没看出来这是个节目，我以为是采访一下优秀模范
尴尬,40,吐槽与负面情绪,求求各位，不要再押题春晚小品了……: 只要我不尴尬，尴尬的就是别人; 【旧曲新歌奥密克戎】2022春晚押题相声: 哈哈哈，真好，已经开始尴尬了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 好尴尬啊; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 超越王勉的尴尬
过年,40,年度与时间,《2025年蛇年春晚烂梗小品精选》: 过年投屏到电视上看; 求求各位，不要再押题春晚小品了……: 托过年还要加班; 求求各位，不要再押题春晚小品了……: 无所谓，up押的挺好看的，留着过年的时候看; 有烂梗的春晚才叫过年呐: 留到过年看
三,39,年度与时间,2024春晚小品押题《三胎》: 经典三句半; 2024春晚小品押题《三胎》: 三胎转折点，到斩杀线了; 有烂梗的春晚才叫过年呐: 玩三国杀玩的
看到,39,情感与互动,我想看这样的春晚: 什么！这里也能看到陶喆; 无偿送给今年的春晚导演组: 看到包孩砸蚌埠住了哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 终于看到催婚了
砸,39,吐槽与负面情绪,无偿送给今年的春晚导演组: 砸电视了要; 无偿送给今年的春晚导演组: 生饺砸！; 2024春晚小品押题《三胎》: 如果有泰裤辣我直接把我家电视砸掉
为什么,38,其他,我想看这样的春晚: 我终于知道我为什么能刷到了。但是成毅杂技需要一套戏服和一根威亚; 《2025年蛇年春晚烂梗小品精选》: 为什么要外孙？孙女不行？; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这是为什么一点印象没有？？？
像,38,其他,papi酱的春晚预测: 坏了，好笑就不像，有点好笑; 2024春晚小品押题《三胎》: 像是张小斐会演的角色; papi酱的春晚预测: 好像啊
不好,38,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 一点都不好笑。; 求求各位，不要再押题春晚小品了……: 小品不好笑，这件事本身就挺好笑的; 求求各位，不要再押题春晚小品了……: 这不好吗
快,37,情感与互动,2024春晚小品押题《三胎》: 唉？进度有点快了，怎么着也得等老公回来吧; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这个点子不错，今年过年请假挣外快; 【旧曲新歌奥密克戎】2022春晚押题相声: 这快板打得像打人
不错,37,情感与互动,求求各位，不要再押题春晚小品了……: 我觉得沈腾马丽去年那个不错; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 觉得歌不错的自己搜搜有多少是抄动漫的歌; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这都觉得不错？你生活是多无趣啊…
太好了,37,情感与互动,2024春晚小品押题《三胎》: 太好了！！; 求求各位，不要再押题春晚小品了……: 那太好了。双喜临门; 求求各位，不要再押题春晚小品了……: 太好了
蒸,37,其他,2025春晚小品预测，这届网友太有才了: 蒸蒸日上; 8秒看完2025年春晚: 我特么以为是蒸孩子; 有烂梗的春晚才叫过年呐: 蒸
对味,36,情感与互动,《2025年蛇年春晚烂梗小品精选》: 太对味了; 你觉得今年春晚最有可能出现哪些梗？: 舞蹈演员太对味儿了; papi酱的春晚预测: 哈哈哈哈哈哈2023年依然对味
省流,36,其他,有烂梗的春晚才叫过年呐: 省流：比春晚好看; 8秒看完2025年春晚: 省流：比春晚好看; 无偿送给今年的春晚导演组: 省流：生孩子
着,36,其他,2024春晚小品押题《三胎》: 哦合着你们几个是人，不用考虑孩子是不是呗; 无偿送给今年的春晚导演组: 错了，应该是一家四口，女方身上还怀着双胞胎; 2025春晚小品预测，这届网友太有才了: 等着拉肚子吧
不结,36,其他,无偿送给今年的春晚导演组: 好，那就不结了; 无偿送给今年的春晚导演组: 那就不结了呗; 2024春晚小品押题《三胎》: 不结婚只用照顾两个
住,35,其他,你觉得今年春晚最有可能出现哪些梗？: 这个我是真的崩不住了哈哈哈哈哈哈; papi酱的春晚预测: 哈哈哈这里真憋不住了; 求求各位，不要再押题春晚小品了……: 我记住它名字了，内容记不住啊
叫,35,其他,有烂梗的春晚才叫过年呐: 定叫你好评如潮; 求求各位，不要再押题春晚小品了……: 没就没了吧，与其叫它臭了不如灭绝; 2024春晚小品押题《三胎》: 哎，这结尾那叫一个地地地道
生孩子,35,其他,2025春晚小品预测，这届网友太有才了: 大家一起生孩子？是不是限制级的啊？限制级的我就看; 8秒看完2025年春晚: 饺子生孩子; 无偿送给今年的春晚导演组: 如果结婚找伴侣就是为了生孩子失去自我才悲哀
几个,35,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 几个？（doge; 《2025年蛇年春晚烂梗小品精选》: 爱要拐几个弯才来～; 2024春晚小品押题《三胎》: 他们几个谁养
卧槽,35,吐槽与负面情绪,无偿送给今年的春晚导演组: 卧槽啊啊啊抽象; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 卧槽预言家; 无偿送给今年的春晚导演组: 卧槽
这下,35,情感与互动,2024春晚小品押题《三胎》: 这下老年人也不看了; 2025年春晚押题小品之《再见老登》: 这下看懂了; 二进制小品: 这下全听懂了
唱,35,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 唱的好，下次不要再唱了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这高调唱的一套又一套; 我想看这样的春晚: 支持情歌对唱啊啊啊
笑场,34,吐槽与负面情绪,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这老演员怎么老笑场哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑场了哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑场严重
回顾,34,春晚内容相关,papi酱的春晚预测: 2021春节回顾; papi酱的春晚预测: 2023年回顾; papi酱的春晚预测: 2024年回顾
23,34,年度与时间,papi酱的春晚预测: 快出2023年的; papi酱的春晚预测: 23年春晚导演肯定看你视频了; papi酱的春晚预测: 2023.........................
脱口秀,34,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀是真的脚趾抠地; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀完全就是多余的; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀这种艺术形式本就不适合大型典礼
老,33,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 都不如我们化学老师讲的勒夏特列原理的热量关系，学习化学，放下负能量，摆出正能量; 2024春晚小品押题《三胎》: 搞得好像生的多以后就会有人养似的说不定到时候还是得靠自己的存款养老; 二进制小品: 这就是老戏骨
一,33,年度与时间,《2025年蛇年春晚烂梗小品精选》: 梗只说一半，鳖笑; 《2025年蛇年春晚烂梗小品精选》: 第一个就被吓晕了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这是为什么一点印象没有？？？
突然,33,春晚内容相关,有烂梗的春晚才叫过年呐: 突然笑出来了; 二进制小品: 我突然释怀的笑; 无偿送给今年的春晚导演组: 张佳宁好可爱啊（突然跑题）
完,33,春晚内容相关,2024春晚小品押题《三胎》: 结尾要跳科目三就完美了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 没有科目三怎么能完美呢; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 提前把春晚看完了
去年,33,年度与时间,求求各位，不要再押题春晚小品了……: 只会刷新去年春晚下限; 求求各位，不要再押题春晚小品了……: 根本想不起来去年都演啥破玩意了; 求求各位，不要再押题春晚小品了……: 我去年没看电视
