Unnamed: 0,弹幕内容,视频名称
82,太有才了 哈哈哈哈哈哈哈,2024春晚小品押题《三胎》
83,这饶舌味儿太对了哈哈哈哈哈哈哈,2024春晚小品押题《三胎》
84,救命，这个竟然有点好笑。,2024春晚小品押题《三胎》
85,已经超过平均水平了,2024春晚小品押题《三胎》
86,60年后你和大伟120了（即答,2024春晚小品押题《三胎》
87,《好啦》,2024春晚小品押题《三胎》
88,孩脑袋挺尖呐,2024春晚小品押题《三胎》
89,《好啦》,2024春晚小品押题《三胎》
90,恭喜恭喜，大明小明要有弟弟妹妹照顾啦，负担超级加倍,2024春晚小品押题《三胎》
91,为了包饺子,2024春晚小品押题《三胎》
92,有俩蜂蜜水？,2024春晚小品押题《三胎》
93,独生子沉默了,2024春晚小品押题《三胎》
94,三胎叫三毛吗哈哈哈,2024春晚小品押题《三胎》
95,刚满18这个梗太新了明年才会用,2024春晚小品押题《三胎》
96,饺子饺子饺饺子,2024春晚小品押题《三胎》
97,《好了》,2024春晚小品押题《三胎》
98,导演:啊？我梦到过这段！,2024春晚小品押题《三胎》
99,思路清奇,2024春晚小品押题《三胎》
100,光是看标题，我的血压就已经上来了。,2024春晚小品押题《三胎》
101,尬到我了,2024春晚小品押题《三胎》
102,生个小舞,2024春晚小品押题《三胎》
103,比春晚好看,2024春晚小品押题《三胎》
104,难道她真的是天才？,2024春晚小品押题《三胎》
105,感觉看过,2024春晚小品押题《三胎》
106,因为考试需要李华,2024春晚小品押题《三胎》
107,天才！,2024春晚小品押题《三胎》
108,汗流浃背了,2024春晚小品押题《三胎》
109,这尬味儿拿捏太到位了！！,2024春晚小品押题《三胎》
110,最后肯定真怀了圆满大结局,2024春晚小品押题《三胎》
111,数学挺好啊,2024春晚小品押题《三胎》
112,我开始害怕了！,2024春晚小品押题《三胎》
113,好几年没看春晚了，现在已经进化到这种风格了吗？可以可以,2024春晚小品押题《三胎》
114,那也不一定,2024春晚小品押题《三胎》
115,养了俩蜂蜜,2024春晚小品押题《三胎》
116,啊啊啊啊啊啊啊啊啊啊啊,2024春晚小品押题《三胎》
117,哇袄！,2024春晚小品押题《三胎》
118,刚好给3个哈基米带9个孩子,2024春晚小品押题《三胎》
119,还差个小舞,2024春晚小品押题《三胎》
120,结尾婆婆怀了，皆大欢喜,2024春晚小品押题《三胎》
121,这个  好啦   真的承上启下作用堪比二战转折点哈哈哈哈哈,2024春晚小品押题《三胎》
122,押题，最后发现是真怀了,2024春晚小品押题《三胎》
123,自己的事自己做，想生就自己生！,2024春晚小品押题《三胎》
124,我好像穿越到2月9号了,2024春晚小品押题《三胎》
125,一模一样的,2024春晚小品押题《三胎》
126,生三胎怎么够呢，生个五胎吧，给三个娃减减负,2024春晚小品押题《三胎》
127,实在是太抽象了,2024春晚小品押题《三胎》
128,《好啦》,2024春晚小品押题《三胎》
129,哇袄！,2024春晚小品押题《三胎》
130,看过，是懂春晚的,2024春晚小品押题《三胎》
131,好家伙 味太冲了,2024春晚小品押题《三胎》
132,我去，感觉已经在看春晚了,2024春晚小品押题《三胎》
133,我突然释怀的笑,2024春晚小品押题《三胎》
134,呢咋这个还真挺好笑,2024春晚小品押题《三胎》
135,三胎非亲生？,2024春晚小品押题《三胎》
136,bgm起！,2024春晚小品押题《三胎》
137,要来力,2024春晚小品押题《三胎》
138,直接包饺子吧,2024春晚小品押题《三胎》
139,最后收场不得来段科目三？,2024春晚小品押题《三胎》
140,哎呦我靠日语生看见哈基米PTSD（）,2024春晚小品押题《三胎》
141,那也不一定,2024春晚小品押题《三胎》
142,《专家说了》,2024春晚小品押题《三胎》
143,虎 妞,2024春晚小品押题《三胎》
144,《有点道理》,2024春晚小品押题《三胎》
145,有点好笑,2024春晚小品押题《三胎》
146,极其抽象,2024春晚小品押题《三胎》
147,谢谢，已经听红温了,2024春晚小品押题《三胎》
148,细节掌声,2024春晚小品押题《三胎》
149,饺子 饺子  饺饺子,2024春晚小品押题《三胎》
150,就是这个味,2024春晚小品押题《三胎》
151,没有我坤哥不是很认可（doge）,2024春晚小品押题《三胎》
152,汗流浃背了 味儿太冲了,2024春晚小品押题《三胎》
153,«二战转折点»,2024春晚小品押题《三胎》
154,老三叫蔡明,2024春晚小品押题《三胎》
155,二战转折点,2024春晚小品押题《三胎》
156,我去，30生俩了？,2024春晚小品押题《三胎》
157,数学天才,2024春晚小品押题《三胎》
158,唉？进度有点快了，怎么着也得等老公回来吧,2024春晚小品押题《三胎》
159,在其实他就是个袄后面略停，在加一个“难搞～（重音读，拉长音）”然后再哎呀吧啦吧啦继续更好,2024春晚小品押题《三胎》
160,啊啊啊啊啊啊啊啊啊,2024春晚小品押题《三胎》
161,这个真的对味,2024春晚小品押题《三胎》
162,孩子：我生出来的意义就是为了照顾你六个呗？,2024春晚小品押题《三胎》
163,汗流浃背了,2024春晚小品押题《三胎》
164,音乐蚌埠住啦,2024春晚小品押题《三胎》
165,升华点题了,2024春晚小品押题《三胎》
166,一上来就没绷住,2024春晚小品押题《三胎》
167,这味儿正宗,2024春晚小品押题《三胎》
168,抒情小曲呢？,2024春晚小品押题《三胎》
169,生个三明多好,2024春晚小品押题《三胎》
170,盲猜最后真怀孕了,2024春晚小品押题《三胎》
171,有两蜂蜜了,2024春晚小品押题《三胎》
172,这个不行，有点太好笑了,2024春晚小品押题《三胎》
173,味儿太冲了,2024春晚小品押题《三胎》
174,平常要脚趾扣地就算了，过年的都不让我的脚趾休息休息，救命,2024春晚小品押题《三胎》
175,天才！,2024春晚小品押题《三胎》
176,坏了，我真被逗笑了,2024春晚小品押题《三胎》
177,看完感觉脑子被抢建了,2024春晚小品押题《三胎》
178,哇袄,2024春晚小品押题《三胎》
179,曾孙：我吃柠檬,2024春晚小品押题《三胎》
180,脑瓜子嗡嗡的,2024春晚小品押题《三胎》
181,盲猜小品最后还是怀上了,2024春晚小品押题《三胎》
182,厚礼蟹，这味太浓了,2024春晚小品押题《三胎》
183,你俩可不一定八十哦,2024春晚小品押题《三胎》
184,……是真的初生呀这种专家,2024春晚小品押题《三胎》
185,省流:包饺子,2024春晚小品押题《三胎》
186,那么问题来了，三胎该叫啥名？,2024春晚小品押题《三胎》
187,硬控！,2024春晚小品押题《三胎》
188,《包饺咂》,2024春晚小品押题《三胎》
189,太对味了,2024春晚小品押题《三胎》
190,春晚写不出这么好的rap,2024春晚小品押题《三胎》
191,不行我笑死了,2024春晚小品押题《三胎》
192,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,2024春晚小品押题《三胎》
193,盲猜结尾怀了,2024春晚小品押题《三胎》
194,已经开始无聊了，溜了溜了,2024春晚小品押题《三胎》
195,什么思路,2024春晚小品押题《三胎》
196,汗流浃背了,2024春晚小品押题《三胎》
197,这集我好像看过,2024春晚小品押题《三胎》
198,逆天,2024春晚小品押题《三胎》
199,又不是养不起，只是有钱不敢花,2024春晚小品押题《三胎》
200,大伟，快行动吧,2024春晚小品押题《三胎》
201,这老b登,2024春晚小品押题《三胎》
202,完了开始流汗了,2024春晚小品押题《三胎》
203,我真不明白,2024春晚小品押题《三胎》
204,殊途同归了,2024春晚小品押题《三胎》
205,蚌埠住了,2024春晚小品押题《三胎》
206,儿子和媳妇的负担你是一点儿不想啊,2024春晚小品押题《三胎》
207,就是这个味,2024春晚小品押题《三胎》
208,盲猜结尾真怀了。。。,2024春晚小品押题《三胎》
209,蚌埠住了,2024春晚小品押题《三胎》
210,味太对了,2024春晚小品押题《三胎》
211,太不容易了，现在能结婚就已经很不容易了,2024春晚小品押题《三胎》
212,诺曼底登陆,2024春晚小品押题《三胎》
213,绷不住了哈哈哈哈哈哈哈哈笑得想死,2024春晚小品押题《三胎》
214,哪吒给我整笑了,2024春晚小品押题《三胎》
215,掌声很及时,2024春晚小品押题《三胎》
216,已经有俩蜂蜜饮料,2024春晚小品押题《三胎》
217,《二战转折点》,2024春晚小品押题《三胎》
218,出音味来,2024春晚小品押题《三胎》
219,哈哈哈哈哈，对味儿了,2024春晚小品押题《三胎》
220,二战转折点,2024春晚小品押题《三胎》
221,为什么不是我们家子涵,2024春晚小品押题《三胎》
222,突然来个很尬的梗，对味了哈哈哈,2024春晚小品押题《三胎》
223,听出味来,2024春晚小品押题《三胎》
224,这个浓度太高 我有点犯恶心了,2024春晚小品押题《三胎》
225,确实，算的是对的,2024春晚小品押题《三胎》
226,BYD，多生我负担就不重了是吧,2024春晚小品押题《三胎》
227,up演技真不错,2024春晚小品押题《三胎》
228,味儿太正了,2024春晚小品押题《三胎》
229,饺子，饺子饺子，饺饺子,2024春晚小品押题《三胎》
230,当众表演生孩子倒还是挺有看头,2024春晚小品押题《三胎》
231,押题了，不知道还以为在看春晚,2024春晚小品押题《三胎》
232,要来咧,2024春晚小品押题《三胎》
233,我都34了一胎都还不知在哪呢,2024春晚小品押题《三胎》
234,饺子的小曲,2024春晚小品押题《三胎》
235,有那味了,2024春晚小品押题《三胎》
236,最后一定要包饺子！！！,2024春晚小品押题《三胎》
237,哈基米是啊米诺斯的意思,2024春晚小品押题《三胎》
238,三棱锥太好笑了,2024春晚小品押题《三胎》
239,全篇唯一有三观的话,2024春晚小品押题《三胎》
240,那不生不就好了，不把负担甩给下一代,2024春晚小品押题《三胎》
241,吓死我了,2024春晚小品押题《三胎》
242,合着人不死呗（,2024春晚小品押题《三胎》
243,目前看过最真实的,2024春晚小品押题《三胎》
244,语气不够跌宕起伏，差评【狗头】,2024春晚小品押题《三胎》
245,“让你生孩子你不开心”,2024春晚小品押题《三胎》
246,我去太牛了,2024春晚小品押题《三胎》
247,对味了,2024春晚小品押题《三胎》
248,哪吒：？？？？,2024春晚小品押题《三胎》
249,太对味儿了,2024春晚小品押题《三胎》
250,18岁带俩娃,2024春晚小品押题《三胎》
251,这是凯丽吧？,2024春晚小品押题《三胎》
252,听到最后的包饺子，吓得我抖了一激灵,2024春晚小品押题《三胎》
253,天才！,2024春晚小品押题《三胎》
254,没到法定结婚年龄，全家都拉去判刑,2024春晚小品押题《三胎》
255,《好了》,2024春晚小品押题《三胎》
256,感觉上来了,2024春晚小品押题《三胎》
257,啊？6666666666666,2024春晚小品押题《三胎》
258,哈哈哈哈,2024春晚小品押题《三胎》
259,好尬啊,2024春晚小品押题《三胎》
260,那死一半不就行了,2024春晚小品押题《三胎》
261,好啦，直接快进到包饺子吧,2024春晚小品押题《三胎》
262,才30…我32还没结婚,2024春晚小品押题《三胎》
263,绝杀！无解！,2024春晚小品押题《三胎》
264,《争气》,2024春晚小品押题《三胎》
265,rape段,2024春晚小品押题《三胎》
266,好人108胎,2024春晚小品押题《三胎》
267,这里说的太露骨了，春晚台词不会这么写,2024春晚小品押题《三胎》
268,泪目,2024春晚小品押题《三胎》
269,逆天,2024春晚小品押题《三胎》
270,《二战转折点》,2024春晚小品押题《三胎》
271,我楞了一秒然后突然笑了哈哈哈哈幽默,2024春晚小品押题《三胎》
272,初音味了,2024春晚小品押题《三胎》
273,三室一厅,2024春晚小品押题《三胎》
274,哈哈哈哈又搞笑又窒息,2024春晚小品押题《三胎》
275,怎么觉得看过 笑死了,2024春晚小品押题《三胎》
276,这个太正宗了,2024春晚小品押题《三胎》
277,早知道留着过年看了,2024春晚小品押题《三胎》
278,这个真好笑,2024春晚小品押题《三胎》
279,福建三明：勿cue,2024春晚小品押题《三胎》
280,姐帮我去押高考题吧,2024春晚小品押题《三胎》
281,养的起又是专家说的300万存款的普通家庭呗,2024春晚小品押题《三胎》
282,我真的已经害怕了,2024春晚小品押题《三胎》
283,那你咋不多生给儿子减轻负担咧,2024春晚小品押题《三胎》
284,"是烦""死""了 烦""死""了",2024春晚小品押题《三胎》
285,畸形胎,2024春晚小品押题《三胎》
286,一上来就没绷住,2024春晚小品押题《三胎》
287,那就是给我增加负担啊你怎么不明白呢,2024春晚小品押题《三胎》
288,已经汗流浃背了,2024春晚小品押题《三胎》
289,到没到80不一定吧,2024春晚小品押题《三胎》
290,经典三句半,2024春晚小品押题《三胎》
291,嗯……怎么不是呢,2024春晚小品押题《三胎》
292,看完好刺闹,2024春晚小品押题《三胎》
293,逆天,2024春晚小品押题《三胎》
294,老登活不了那么久,2024春晚小品押题《三胎》
295,《不是养不起》,2024春晚小品押题《三胎》
296,哦。。。就是男的又隐身了。一切都是女性的错嘛(婆婆催),2024春晚小品押题《三胎》
297,这个真的很不错,2024春晚小品押题《三胎》
298,掌声绝了,2024春晚小品押题《三胎》
299,蔡明：别煽情了，我哭不出来,2024春晚小品押题《三胎》
300,二战转折点,2024春晚小品押题《三胎》
301,对味了,2024春晚小品押题《三胎》
302,30有俩还不早啊？,2024春晚小品押题《三胎》
303,小脑萎缩,2024春晚小品押题《三胎》
304,逆天,2024春晚小品押题《三胎》
305,所以您在生一个吧（doge）,2024春晚小品押题《三胎》
306,这戏，我就不演了！,2024春晚小品押题《三胎》
307,我外婆叫秀兰,2024春晚小品押题《三胎》
308,猜有包饺子,2024春晚小品押题《三胎》
309,味太冲了,2024春晚小品押题《三胎》
310,谁说你们都能活到八十多了,2024春晚小品押题《三胎》
311,省流：一起包饺子,2024春晚小品押题《三胎》
312,那80的早点走呗,2024春晚小品押题《三胎》
313,有那味了,2024春晚小品押题《三胎》
314,太精髓了，哈哈哈哈哈,2024春晚小品押题《三胎》
315,可怕的转场,2024春晚小品押题《三胎》
316,《养不起》,2024春晚小品押题《三胎》
317,有那味了,2024春晚小品押题《三胎》
318,我要上春晚,2024春晚小品押题《三胎》
319,刑,2024春晚小品押题《三胎》
320,感觉看过,2024春晚小品押题《三胎》
321,太对味,2024春晚小品押题《三胎》
322,汗流浃背了,2024春晚小品押题《三胎》
323,经典误会/谎言开场，再安排最后结局真怀了,2024春晚小品押题《三胎》
324,出音味来,2024春晚小品押题《三胎》
325,对味儿了,2024春晚小品押题《三胎》
326,啊啊啊啊啊啊,2024春晚小品押题《三胎》
327,救命,2024春晚小品押题《三胎》
328,就这句话就给我干的眉头紧皱了,2024春晚小品押题《三胎》
329,太有内味了,2024春晚小品押题《三胎》
330,还有小丽啊,2024春晚小品押题《三胎》
331,手术很顺利,2024春晚小品押题《三胎》
332,这味儿太浓了,2024春晚小品押题《三胎》
333,有内味了,2024春晚小品押题《三胎》
334,我的妈诶，味太对了,2024春晚小品押题《三胎》
335,天才！,2024春晚小品押题《三胎》
336,我去19岁生的大伟,2024春晚小品押题《三胎》
337,《好啦》,2024春晚小品押题《三胎》
338,哎，这结尾那叫一个地地地道,2024春晚小品押题《三胎》
339,掌声笑死了,2024春晚小品押题《三胎》
340,这个是真的有点儿好笑,2024春晚小品押题《三胎》
341,上饺子了,2024春晚小品押题《三胎》
342,nt，生一个大的孩子是不是得管小的孩子，谁负担大,2024春晚小品押题《三胎》
343,押题卷难度是高奥,2024春晚小品押题《三胎》
344,《负担》,2024春晚小品押题《三胎》
345,好～～～～～～～～～辣！,2024春晚小品押题《三胎》
346,也不一定，可能嘎了,2024春晚小品押题《三胎》
347,《二战转折点》,2024春晚小品押题《三胎》
348,太好笑了，不行,2024春晚小品押题《三胎》
349,经典闹矛盾,2024春晚小品押题《三胎》
350,可真能活呀,2024春晚小品押题《三胎》
351,感觉是张凯丽,2024春晚小品押题《三胎》
352,三胎叫三明,2024春晚小品押题《三胎》
353,又不是养不起，指白米饭管饱,2024春晚小品押题《三胎》
354,我突然释怀地似了,2024春晚小品押题《三胎》
355,太逆天了,2024春晚小品押题《三胎》
356,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,2024春晚小品押题《三胎》
357,盲猜结尾怀上了,2024春晚小品押题《三胎》
358,三胎非亲生,2024春晚小品押题《三胎》
359,蚌埠住了,2024春晚小品押题《三胎》
360,太恶心了催婚催生,2024春晚小品押题《三胎》
361,wow养得起,2024春晚小品押题《三胎》
362,原来孩子是婆婆的逆天,2024春晚小品押题《三胎》
363,笑死我了,2024春晚小品押题《三胎》
364,说话太自然了,2024春晚小品押题《三胎》
365,所以孩子怎么生呢，能教一下怎么生孩子吗,2024春晚小品押题《三胎》
366,来辣来辣，对味啦,2024春晚小品押题《三胎》
367,我去天青牛蟒,2024春晚小品押题《三胎》
368,啊啊啊啊啊我的脚趾头,2024春晚小品押题《三胎》
369,……wflbb你不会就是春晚编剧吧,2024春晚小品押题《三胎》
370,嗯，那你想过现在他们俩的负担有多重吗,2024春晚小品押题《三胎》
371,这句话不可能,2024春晚小品押题《三胎》
372,《你就说你笑没笑吧》,2024春晚小品押题《三胎》
373,啊啊啊啊啊啊啊啊啊啊啊啊,2024春晚小品押题《三胎》
374,哈基米说到底也是日语，应该不会上吧,2024春晚小品押题《三胎》
375,就是你家小明数学题一直不会是吧,2024春晚小品押题《三胎》
376,一分钟过去后代表时间走过了60秒,2024春晚小品押题《三胎》
377,专家说你生一个理纳米,2024春晚小品押题《三胎》
378,太抽象了,2024春晚小品押题《三胎》
379,炸裂,2024春晚小品押题《三胎》
380,真有那味儿了!!!,2024春晚小品押题《三胎》
381,不跳个科目三？,2024春晚小品押题《三胎》
382,省流：包饺子,2024春晚小品押题《三胎》
383,饺子预备,2024春晚小品押题《三胎》
384,太有才了,2024春晚小品押题《三胎》
385,中专起步,2024春晚小品押题《三胎》
386,为了追男包呗,2024春晚小品押题《三胎》
387,看哭了,2024春晚小品押题《三胎》
388,哈哈哈哈哈哈我先笑了,2024春晚小品押题《三胎》
389,还是太好笑了,2024春晚小品押题《三胎》
390,牛魔的一上来就血压飙升,2024春晚小品押题《三胎》
391,太对味了,2024春晚小品押题《三胎》
392,汗毛耸立了,2024春晚小品押题《三胎》
393,遥遥领先,2024春晚小品押题《三胎》
394,哈哈哈哈哈图穷匕见,2024春晚小品押题《三胎》
395,你家可真未必能养得起,2024春晚小品押题《三胎》
396,二    战    转    折    点,2024春晚小品押题《三胎》
397,哈基米是蜂蜜,2024春晚小品押题《三胎》
398,独生子女：6,2024春晚小品押题《三胎》
399,啊？？？,2024春晚小品押题《三胎》
400,二战转折点,2024春晚小品押题《三胎》
401,不不不，必须生一窝,2024春晚小品押题《三胎》
402,出音味来,2024春晚小品押题《三胎》
403,女人不是机器,2024春晚小品押题《三胎》
404,天才！,2024春晚小品押题《三胎》
405,省流：包饺子,2024春晚小品押题《三胎》
406,二战转折点,2024春晚小品押题《三胎》
407,涉黄了,2024春晚小品押题《三胎》
408,汗流浃背了,2024春晚小品押题《三胎》
409,触发连招,2024春晚小品押题《三胎》
410,额，我竟然看进去了，额,2024春晚小品押题《三胎》
411,啊？哈哈,2024春晚小品押题《三胎》
412,饺子上场了！,2024春晚小品押题《三胎》
413,有内味了,2024春晚小品押题《三胎》
414,这胎位不正了,2024春晚小品押题《三胎》
415,咱们一起生三胎,2024春晚小品押题《三胎》
416,30年后我可能已经无了,2024春晚小品押题《三胎》
417,天啊天啊,2024春晚小品押题《三胎》
418,别演了别演了，导演流汗了,2024春晚小品押题《三胎》
419,老三：合着我工具人呗,2024春晚小品押题《三胎》
420,万一你活不到80呢,2024春晚小品押题《三胎》
421,我觉得挺好看的,2024春晚小品押题《三胎》
422,逆天,2024春晚小品押题《三胎》
423,盲猜结局包饺子,2024春晚小品押题《三胎》
424,汗流浃背了,2024春晚小品押题《三胎》
425,《养不起》,2024春晚小品押题《三胎》
426,《泪目》,2024春晚小品押题《三胎》
427,哦合着你们几个是人，不用考虑孩子是不是呗,2024春晚小品押题《三胎》
428,没关系，你可能已经没了,2024春晚小品押题《三胎》
429,一整个恶寒,2024春晚小品押题《三胎》
430,60了，三个孩子就准备分家产咯,2024春晚小品押题《三胎》
431,这个短发怎么和张凯力健那么像,2024春晚小品押题《三胎》
432,没绷住,2024春晚小品押题《三胎》
433,负担转嫁之术,2024春晚小品押题《三胎》
434,有点道理,2024春晚小品押题《三胎》
435,我突然释怀的似了,2024春晚小品押题《三胎》
436,盲猜最后被婆婆感动真的要怀三胎，然后大家一起包饺子,2024春晚小品押题《三胎》
437,音乐一响,2024春晚小品押题《三胎》
438,你这老登活那么久干嘛,2024春晚小品押题《三胎》
439,谢谢，我会争取死早点,2024春晚小品押题《三胎》
440,我不生就没负担,2024春晚小品押题《三胎》
441,汗流浃背了,2024春晚小品押题《三胎》
442,这不张小斐的风格么,2024春晚小品押题《三胎》
443,《又不是养不起》,2024春晚小品押题《三胎》
444,喀   尔   巴   阡   山   的   天   才,2024春晚小品押题《三胎》
445,你带孩子有瘾？,2024春晚小品押题《三胎》
446,老登你能活那么久吗,2024春晚小品押题《三胎》
447,味儿太冲了,2024春晚小品押题《三胎》
448,春晚导演表示汗流浃背了,2024春晚小品押题《三胎》
449,哈哈哈，三棱锥,2024春晚小品押题《三胎》
450,大年三十不是在上班吗,2024春晚小品押题《三胎》
451,包饺子！,2024春晚小品押题《三胎》
452,不行了，要抠出三室一厅了,2024春晚小品押题《三胎》
453,已经开始玩王者荣耀了,2024春晚小品押题《三胎》
454,经典专家,2024春晚小品押题《三胎》
455,三孩，阿米诺斯,2024春晚小品押题《三胎》
456,如果有泰裤辣我直接把我家电视砸掉,2024春晚小品押题《三胎》
457,哈牛魔的哈吉米，阿米诺斯,2024春晚小品押题《三胎》
458,孩子：6,2024春晚小品押题《三胎》
459,应该念成“三十儿”,2024春晚小品押题《三胎》
460,为什么负担重？,2024春晚小品押题《三胎》
461,好煽情好恶心,2024春晚小品押题《三胎》
462,已经尬住了,2024春晚小品押题《三胎》
463,出音味来,2024春晚小品押题《三胎》
464,舒服了,2024春晚小品押题《三胎》
465,凭啥照顾你？,2024春晚小品押题《三胎》
466,6,2024春晚小品押题《三胎》
467,byd还是高龄产妇,2024春晚小品押题《三胎》
468,内些保险都是啥呀,2024春晚小品押题《三胎》
469,包饺子,2024春晚小品押题《三胎》
470,结尾一定是真怀上了,2024春晚小品押题《三胎》
471,牛逼,2024春晚小品押题《三胎》
472,为了什么啊,2024春晚小品押题《三胎》
473,好啦！！,2024春晚小品押题《三胎》
474,？？？？,2024春晚小品押题《三胎》
475,太ex了专家 呵,2024春晚小品押题《三胎》
476,好笑吗不是所有人怀的都是圆的，我的亲戚怀的就是尖的我每次看都会被吓到,2024春晚小品押题《三胎》
477,还挺有意思的,2024春晚小品押题《三胎》
478,味儿对了,2024春晚小品押题《三胎》
479,好厉害,2024春晚小品押题《三胎》
480,哈哈哈哈哈哈哈,2024春晚小品押题《三胎》
481,？？？？？？,2024春晚小品押题《三胎》
482,那就给父母加重负担呗,2024春晚小品押题《三胎》
483,啊啊啊啊啊啊,2024春晚小品押题《三胎》
484,缺个小舞,2024春晚小品押题《三胎》
485,被三棱锥笑死了,2024春晚小品押题《三胎》
486,等等，这婆婆20岁就生娃了？,2024春晚小品押题《三胎》
487,不是，老人就不能有一点自我独立能力吗,2024春晚小品押题《三胎》
488,哈基米哈基米哈基米～？,2024春晚小品押题《三胎》
489,太激进了，不符合,2024春晚小品押题《三胎》
